종목명,티커,매매상태,잔여비중 %,최신가,BUY가,전략수익률 %,현재손절가,3R 목표가,트레일링 기준,포착일,최신일,수익률 %,최대수익 %,최대낙폭 %,3R 달성일,1차매도가,종결일,종결가,종결사유,실현수익률 %,RS,MTT,시장상태,EARLY 상태,최초 EARLY일,최초 EARLY가,EARLY후 상승률 %,EARLY후 거래일,최초손절가,초과수익 %p,매수검토,매수품질,종합점수,섹터,섹터점수,섹터내순위,주봉상태,ATR20 %,기관적합,포착RS,등급근거,등급룰 버전,룰 버전,매도룰 버전
실리콘투,257720,CLOSED,0.0,47150.0,51900.0,-9.152215799614638,47748.0,64356.0,INITIAL,2026-08-25,2026-09-07,-9.152215799614638,4.4315992292870865,-9.152215799614638,,,2026-09-07,47150.0,STOP_LOSS,-9.152215799614638,85.01569506726457,False,COUNTERTREND,NORMAL,2026-08-07,39300.0,19.974554707379145,20,47748.0,-8.552566401077499,대기,B,60.73,유통,38.2,2.0,RECOVERING,7.008670520231214,True,50.0,섹터 38 / 대장 2위 / 주봉 RECOVERING / ATR 7.0%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
에이피알,278470,CLOSED,0.0,384000.0,440500.0,-10.556186152099889,405260.0,546220.0,INITIAL,2026-08-25,2026-09-07,-12.826333711691262,5.448354143019296,-12.826333711691262,,,2026-09-04,394000.0,STOP_LOSS,-10.556186152099889,36.51457399103139,False,COUNTERTREND,FRESH,2026-08-12,397000.0,-3.2745591939546626,17,405260.0,-16.573326773858877,대기,B,75.98,화학,71.8,12.0,STRONG,6.058456299659478,True,50.0,섹터 72 / 대장 12위 / 주봉 STRONG / ATR 6.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
롯데웰푸드,280360,OPEN,100.0,138600.0,135200.0,2.51479289940828,124384.0,167648.0,INITIAL,2026-08-25,2026-09-07,2.51479289940828,9.911242603550296,0.0,,,,,,0.0,42.91479820627803,False,COUNTERTREND,NORMAL,2026-08-07,116900.0,18.562874251497007,20,124384.0,-1.2322001627593338,우선검토,A,71.78,음식료·담배,62.199999999999996,1.0,RECOVERING,5.133136094674557,False,50.0,섹터 62 / 대장 1위 / 주봉 RECOVERING / ATR 5.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
삼성화재우,000815,OPEN,100.0,423500.0,425000.0,-0.3529411764705892,391000.0,527000.0,INITIAL,2026-08-26,2026-09-07,-0.3529411764705892,3.88235294117647,-0.588235294117645,,,,,,0.0,28.96748878923767,True,COUNTERTREND,FRESH,2026-08-11,406500.0,4.182041820418214,18,391000.0,-3.102268826469634,대기,B,76.12,보험,87.4,6.0,STRONG,2.941176470588235,False,50.0,섹터 87 / 대장 6위 / 주봉 STRONG / ATR 2.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
삼양식품,003230,CLOSED,0.0,1330000.0,1507000.0,-11.745189117451893,1386440.0,1868680.0,INITIAL,2026-08-26,2026-09-07,-11.745189117451893,2.654280026542799,-11.745189117451893,,,2026-09-07,1330000.0,STOP_LOSS,-11.745189117451893,26.562780269058297,False,COUNTERTREND,FRESH,2026-08-04,1219000.0,9.105824446267441,23,1386440.0,-14.49451676745094,우선검토,A,72.24,음식료·담배,57.400000000000006,4.0,STRONG,5.428002654280027,True,50.0,섹터 57 / 대장 4위 / 주봉 STRONG / ATR 5.4%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
한일홀딩스,003300,OPEN,100.0,18560.0,18350.0,1.1444141689373355,16882.0,22754.0,INITIAL,2026-08-26,2026-09-07,1.1444141689373355,4.41416893732971,0.0,,,,,,0.0,27.56165919282511,False,COUNTERTREND,FRESH,2026-08-24,18180.0,2.0902090209020896,10,16882.0,-1.6049134810617094,대기,B,61.45,비금속,63.800000000000004,16.0,STRONG,3.092643051771117,False,50.0,섹터 64 / 대장 16위 / 주봉 STRONG / ATR 3.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
세방전지,004490,OPEN,100.0,64300.0,59800.0,7.52508361204014,55016.0,74152.0,INITIAL,2026-08-26,2026-09-07,7.52508361204014,14.046822742474907,0.0,,,,,,0.0,30.891255605381165,False,COUNTERTREND,NORMAL,2026-08-07,55600.0,15.64748201438848,20,55016.0,4.775755962041095,대기,C,54.02,전기·전자,46.8,47.0,RECOVERING,4.226588628762542,False,50.0,섹터 47 / 대장 47위 / 주봉 RECOVERING / ATR 4.2%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
GS건설,006360,CLOSED,0.0,35200.0,37800.0,-11.904761904761907,34776.0,46872.0,INITIAL,2026-08-26,2026-09-07,-6.8783068783068835,0.0,-14.682539682539685,,,2026-09-01,33300.0,STOP_LOSS,-11.904761904761907,71.17937219730942,True,COUNTERTREND,FRESH,2026-08-06,32600.0,7.975460122699385,21,34776.0,-9.62763452830593,우선검토,A,72.83,건설,85.4,2.0,STRONG,7.886904761904762,True,50.0,섹터 85 / 대장 2위 / 주봉 STRONG / ATR 7.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
E1,017940,OPEN,100.0,97500.0,97700.0,-0.20470829068577334,89884.0,121148.0,INITIAL,2026-08-26,2026-09-07,-0.20470829068577334,0.9211873080859689,-0.61412487205732,,,,,,0.0,32.22309417040359,False,COUNTERTREND,FRESH,2026-08-19,93000.0,4.8387096774193505,13,89884.0,-2.9540359406848182,대기,B,56.44,유통,41.0,18.0,RECOVERING,4.109518935516888,False,50.0,섹터 41 / 대장 18위 / 주봉 RECOVERING / ATR 4.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
삼성SDI,006400,OPEN,100.0,541000.0,569000.0,-4.920913884007028,523480.0,705560.0,INITIAL,2026-08-27,2026-09-07,-4.920913884007028,1.4059753954305698,-5.448154657293502,,,,,,0.0,82.0560538116592,False,COUNTERTREND,FRESH,2026-08-14,516000.0,4.844961240310086,15,523480.0,-6.121949129516169,대기,B,58.65,전기·전자,53.6,36.0,RECOVERING,5.588752196836555,True,85.10007468259894,섹터 54 / 대장 36위 / 주봉 RECOVERING / ATR 5.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
에스원,012750,OPEN,100.0,79100.0,85500.0,-7.485380116959062,78660.0,106020.0,INITIAL,2026-08-27,2026-09-07,-7.485380116959062,0.0,-7.485380116959062,,,,,,0.0,22.27130044843049,False,COUNTERTREND,FRESH,2026-08-06,75000.0,5.466666666666664,21,78660.0,-8.686415362468203,대기,B,59.41,일반서비스,54.6,18.0,RECOVERING,3.385964912280702,False,32.199029126213595,섹터 55 / 대장 18위 / 주봉 RECOVERING / ATR 3.4%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
케이씨,029460,OPEN,100.0,38750.0,38650.0,0.2587322121604174,35558.0,47926.0,INITIAL,2026-08-27,2026-09-07,0.2587322121604174,6.0802069857697205,-4.786545924967656,,,,,,0.0,57.04708520179372,False,COUNTERTREND,NORMAL,2026-08-05,31850.0,21.664050235478815,22,35558.0,-0.9423030333487237,대기,B,59.01,의료·정밀기기,30.400000000000002,2.0,RECOVERING,5.051746442432083,False,76.30171769977595,섹터 30 / 대장 2위 / 주봉 RECOVERING / ATR 5.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아세아시멘트,183190,OPEN,100.0,10920.0,10550.0,3.5071090047393394,9706.0,13082.0,INITIAL,2026-08-27,2026-09-07,3.5071090047393394,8.341232227488149,-1.0426540284360186,,,,,,0.0,21.198430493273545,False,COUNTERTREND,FRESH,2026-08-27,10550.0,3.5071090047393394,7,9706.0,2.3060737592301983,대기,C,52.72,비금속,58.2,10.0,RECOVERING,2.976303317535545,False,19.519044062733386,섹터 58 / 대장 10위 / 주봉 RECOVERING / ATR 3.0%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
심텍,222800,OPEN,100.0,119800.0,126900.0,-5.594956658786443,116748.0,157356.0,INITIAL,2026-08-27,2026-09-07,-5.594956658786443,1.891252955082745,-7.4074074074074066,,,,,,0.0,92.6737668161435,False,COUNTERTREND,FRESH,2026-08-10,115900.0,3.3649698015530527,19,116748.0,-3.7493170718468027,대기,B,60.25,전기·전자,53.6,14.0,GOOD,9.178486997635932,True,95.1923076923077,섹터 54 / 대장 14위 / 주봉 GOOD / ATR 9.2%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
KG이니시스,035600,OPEN,100.0,10290.0,10640.0,-3.289473684210531,9788.800000000001,13193.599999999997,INITIAL,2026-08-28,2026-09-07,-3.289473684210531,0.0,-3.289473684210531,,,,,,0.0,73.95403587443946,False,COUNTERTREND,NO_EARLY,,,,,9788.800000000001,-1.354859354705884,대기,B,57.6,IT 서비스,42.199999999999996,49.0,RECOVERING,2.617481203007519,False,74.52725914861837,섹터 42 / 대장 49위 / 주봉 RECOVERING / ATR 2.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
씨젠,096530,CLOSED,0.0,31400.0,35650.0,-9.957924263674611,32798.0,44206.0,INITIAL,2026-08-28,2026-09-07,-11.921458625525949,0.0,-11.921458625525949,,,2026-09-02,32100.0,STOP_LOSS,-9.957924263674611,84.3127802690583,True,COUNTERTREND,NO_EARLY,,,,,32798.0,-9.986844296021301,대기,B,75.79,제약,46.2,2.0,STRONG,5.119214586255259,True,86.20911127707244,섹터 46 / 대장 2위 / 주봉 STRONG / ATR 5.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
글로벌텍스프리,204620,CLOSED,0.0,5300.0,5960.0,-9.899328859060407,5483.2,7390.400000000001,INITIAL,2026-08-28,2026-09-07,-11.073825503355705,0.0,-11.073825503355705,,,2026-09-03,5370.0,STOP_LOSS,-9.899328859060407,80.79820627802691,False,COUNTERTREND,FRESH,2026-08-25,5150.0,2.9126213592232997,9,5483.2,-9.139211173851058,대기,B,67.42,금융,80.6,8.0,RECOVERING,5.444630872483222,False,85.8024645257655,섹터 81 / 대장 8위 / 주봉 RECOVERING / ATR 5.4%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아모레퍼시픽홀딩스,002790,OPEN,100.0,26450.0,28000.0,-5.535714285714288,25760.0,34720.0,INITIAL,2026-08-28,2026-09-07,-5.535714285714288,0.0,-5.892857142857144,,,,,,0.0,22.308295964125563,False,COUNTERTREND,FRESH,2026-08-21,26000.0,1.7307692307692246,11,25760.0,-8.577600428936737,대기,B,57.31,화학,71.4,70.0,RECOVERING,3.767857142857143,False,32.67961165048544,섹터 71 / 대장 70위 / 주봉 RECOVERING / ATR 3.8%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
KPX케미칼,025000,OPEN,100.0,54300.0,55800.0,-2.6881720430107503,51336.0,69192.0,INITIAL,2026-08-28,2026-09-07,-2.6881720430107503,0.0,-2.6881720430107503,,,,,,0.0,28.52354260089686,True,COUNTERTREND,FRESH,2026-08-24,54000.0,0.5555555555555536,10,51336.0,-5.7300581862332,대기,B,67.82,화학,71.4,21.0,RECOVERING,2.1460573476702507,False,33.603808812546674,섹터 71 / 대장 21위 / 주봉 RECOVERING / ATR 2.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
코스맥스비티아이,044820,CLOSED,0.0,23400.0,26800.0,-8.208955223880599,24656.0,33232.0,INITIAL,2026-08-28,2026-09-07,-12.686567164179108,0.0,-12.686567164179108,,,2026-09-03,24600.0,STOP_LOSS_GAP,-8.208955223880599,51.312780269058294,True,COUNTERTREND,FRESH,2026-08-04,21050.0,11.16389548693586,23,24656.0,-15.728453307401558,대기,B,68.54,기타금융,48.99999999999999,2.0,STRONG,6.942164179104478,False,81.80993278566093,섹터 49 / 대장 2위 / 주봉 STRONG / ATR 6.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
