ticker,name,market,first_early_date,first_early_close
000080,하이트진로,KOSPI,2026-08-10,15710.0
000240,한국앤컴퍼니,KOSPI,2026-08-10,25950.0
000370,한화손해보험,KOSPI,2026-08-26,7700.0
000430,대원강업,KOSPI,2026-08-26,4375.0
000640,동아쏘시오홀딩스,KOSPI,2026-08-04,88000.0
000810,삼성화재,KOSPI,2026-08-06,648000.0
000815,삼성화재우,KOSPI,2026-08-11,406500.0
000880,한화,KOSPI,2026-08-25,118100.0
001060,JW중외제약,KOSPI,2026-08-12,30000.0
001450,현대해상,KOSPI,2026-08-06,38650.0
001680,대상,KOSPI,2026-08-10,18370.0
001790,대한제당,KOSPI,2026-08-20,2810.0
001800,오리온홀딩스,KOSPI,2026-08-03,25500.0
001940,KISCO홀딩스,KOSPI,2026-08-06,26700.0
002310,아세아제지,KOSPI,2026-08-25,8560.0
002790,아모레퍼시픽홀딩스,KOSPI,2026-08-21,26000.0
002810,삼영무역,KOSPI,2026-08-11,23700.0
002840,미원상사,KOSPI,2026-08-24,131800.0
002900,TYM,KOSPI,2026-08-11,7060.0
002960,한국쉘석유,KOSPI,2026-08-04,499500.0
002990,금호건설,KOSPI,2026-08-13,14370.0
003070,코오롱글로벌,KOSPI,2026-08-12,10500.0
003120,일성아이에스,KOSPI,2026-08-25,20950.0
003230,삼양식품,KOSPI,2026-08-04,1219000.0
003300,한일홀딩스,KOSPI,2026-08-24,18180.0
003490,대한항공,KOSPI,2026-08-07,27150.0
003650,미창석유,KOSPI,2026-08-03,141700.0
003690,코리안리,KOSPI,2026-08-19,14930.0
003850,보령,KOSPI,2026-08-05,8690.0
003920,남양유업,KOSPI,2026-08-10,44950.0
003960,사조대림,KOSPI,2026-08-10,32200.0
004360,세방,KOSPI,2026-08-07,13180.0
004370,농심,KOSPI,2026-08-14,437500.0
004430,송원산업,KOSPI,2026-08-10,12590.0
004490,세방전지,KOSPI,2026-08-07,55600.0
004690,삼천리,KOSPI,2026-08-04,118900.0
005090,SGC에너지,KOSPI,2026-08-04,50400.0
005180,빙그레,KOSPI,2026-08-03,67800.0
005430,한국공항,KOSPI,2026-08-05,91800.0
005610,삼립,KOSPI,2026-08-11,41200.0
005680,삼영전자,KOSPI,2026-08-10,13930.0
005720,넥센,KOSPI,2026-08-10,6260.0
005830,DB손해보험,KOSPI,2026-08-18,182000.0
005850,에스엘,KOSPI,2026-08-14,61600.0
005945,NH투자증권우,KOSPI,2026-08-07,24900.0
006040,동원산업,KOSPI,2026-08-04,36950.0
006120,SK디스커버리,KOSPI,2026-08-11,53700.0
006280,녹십자,KOSPI,2026-08-07,129900.0
006340,대원전선,KOSPI,2026-08-06,14400.0
006360,GS건설,KOSPI,2026-08-06,32600.0
006400,삼성SDI,KOSPI,2026-08-14,516000.0
007070,GS리테일,KOSPI,2026-08-04,25050.0
007160,사조산업,KOSPI,2026-08-04,52000.0
007310,오뚜기,KOSPI,2026-08-06,334500.0
007340,DN오토모티브,KOSPI,2026-08-24,47800.0
007690,국도화학,KOSPI,2026-08-19,37950.0
008490,서흥,KOSPI,2026-08-06,22850.0
008930,한미사이언스,KOSPI,2026-08-04,39200.0
009160,SIMPAC,KOSPI,2026-08-19,4890.0
009240,한샘,KOSPI,2026-08-04,39000.0
009410,태영건설,KOSPI,2026-08-28,1693.0
009420,한올바이오파마,KOSPI,2026-08-07,54100.0
009450,경동나비엔,KOSPI,2026-08-04,68500.0
009540,HD한국조선해양,KOSPI,2026-08-05,396000.0
009680,모토닉,KOSPI,2026-08-04,9970.0
009970,영원무역홀딩스,KOSPI,2026-08-06,203000.0
010060,OCI홀딩스,KOSPI,2026-08-20,290000.0
010950,S-Oil,KOSPI,2026-08-04,125800.0
010955,S-Oil우,KOSPI,2026-08-06,61400.0
011200,HMM,KOSPI,2026-08-19,21700.0
011780,금호석유화학,KOSPI,2026-08-06,121700.0
012450,한화에어로스페이스,KOSPI,2026-08-13,1185000.0
012630,HDC,KOSPI,2026-08-05,22200.0
012750,에스원,KOSPI,2026-08-06,75000.0
014820,동원시스템즈,KOSPI,2026-08-07,22250.0
016380,KG스틸,KOSPI,2026-08-04,5580.0
017670,SK텔레콤,KOSPI,2026-08-18,99800.0
017940,E1,KOSPI,2026-08-19,93000.0
018670,SK가스,KOSPI,2026-08-07,228000.0
019010,베뉴지,KOSDAQ,2026-08-19,5180.0
020560,아시아나항공,KOSPI,2026-08-10,7210.0
021240,코웨이,KOSPI,2026-08-06,96600.0
025000,KPX케미칼,KOSPI,2026-08-24,54000.0
026960,동서,KOSPI,2026-08-04,25400.0
027410,BGF,KOSPI,2026-08-07,4120.0
028050,삼성E&A,KOSPI,2026-08-05,49100.0
028100,동아지질,KOSPI,2026-08-03,17380.0
028260,삼성물산,KOSPI,2026-08-21,395500.0
02826K,삼성물산우B,KOSPI,2026-08-20,232000.0
028670,팬오션,KOSPI,2026-08-04,5640.0
029460,케이씨,KOSPI,2026-08-05,31850.0
030000,제일기획,KOSPI,2026-08-03,18950.0
030190,NICE평가정보,KOSPI,2026-08-03,14160.0
031980,피에스케이홀딩스,KOSDAQ,2026-08-27,127000.0
032640,LG유플러스,KOSPI,2026-08-04,14930.0
033270,유나이티드제약,KOSPI,2026-08-04,17880.0
033780,KT&G,KOSPI,2026-08-07,188800.0
033920,무학,KOSPI,2026-08-26,7890.0
034310,NICE,KOSPI,2026-08-26,13330.0
03473K,SK우,KOSPI,2026-08-27,380000.0
035150,백산,KOSPI,2026-08-21,10750.0
035420,NAVER,KOSPI,2026-08-04,226500.0
036460,한국가스공사,KOSPI,2026-08-06,34750.0
037710,광주신세계,KOSPI,2026-08-11,41950.0
043150,바텍,KOSDAQ,2026-08-18,20050.0
044820,코스맥스비티아이,KOSPI,2026-08-04,21050.0
047810,한국항공우주,KOSPI,2026-08-07,154200.0
051900,LG생활건강,KOSPI,2026-08-27,298500.0
051905,LG생활건강우,KOSPI,2026-08-26,108500.0
054950,제이브이엠,KOSDAQ,2026-08-05,24150.0
055550,신한지주,KOSPI,2026-08-06,107400.0
056190,SFA,KOSDAQ,2026-08-14,25550.0
058610,에스피지,KOSDAQ,2026-08-14,118600.0
058650,세아홀딩스,KOSPI,2026-08-24,132600.0
060980,HL홀딩스,KOSPI,2026-08-13,40400.0
061970,LB세미콘,KOSDAQ,2026-08-20,5220.0
