종목명,티커,매매상태,잔여비중 %,최신가,BUY가,전략수익률 %,현재손절가,3R 목표가,트레일링 기준,포착일,최신일,수익률 %,최대수익 %,최대낙폭 %,3R 달성일,1차매도가,종결일,종결가,종결사유,실현수익률 %,RS,MTT,시장상태,EARLY 상태,최초 EARLY일,최초 EARLY가,EARLY후 상승률 %,EARLY후 거래일,최초손절가,초과수익 %p,매수검토,매수품질,종합점수,섹터,섹터점수,섹터내순위,주봉상태,ATR20 %,기관적합,포착RS,등급근거,등급룰 버전,룰 버전,매도룰 버전
실리콘투,257720,CLOSED,0.0,43500.0,51900.0,-9.152215799614638,47748.0,64356.0,INITIAL,2026-08-25,2026-09-11,-16.184971098265898,4.4315992292870865,-16.184971098265898,,,2026-09-07,47150.0,STOP_LOSS,-9.152215799614638,81.90168224299066,False,COUNTERTREND,FRESH,2026-08-07,39300.0,10.687022900763354,24,47748.0,-15.397931262685892,대기,B,60.73,유통,38.2,2.0,RECOVERING,7.008670520231214,True,50.0,섹터 38 / 대장 2위 / 주봉 RECOVERING / ATR 7.0%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
에이피알,278470,CLOSED,0.0,372000.0,440500.0,-10.556186152099889,405260.0,546220.0,INITIAL,2026-08-25,2026-09-11,-15.55051078320091,5.448354143019296,-18.047673098751417,,,2026-09-04,394000.0,STOP_LOSS,-10.556186152099889,42.153644859813085,False,COUNTERTREND,FRESH,2026-08-12,397000.0,-6.297229219143574,21,405260.0,-18.0297699567713,대기,B,75.98,화학,71.8,12.0,STRONG,6.058456299659478,True,50.0,섹터 72 / 대장 12위 / 주봉 STRONG / ATR 6.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
롯데웰푸드,280360,OPEN,100.0,142900.0,135200.0,5.695266272189348,124384.0,167648.0,INITIAL,2026-08-25,2026-09-11,5.695266272189348,9.911242603550296,0.0,,,,,,0.0,58.65981308411215,False,COUNTERTREND,NORMAL,2026-08-07,116900.0,22.24123182207014,24,124384.0,3.216007098618956,우선검토,A,71.78,음식료·담배,62.199999999999996,1.0,RECOVERING,5.133136094674557,False,50.0,섹터 62 / 대장 1위 / 주봉 RECOVERING / ATR 5.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
삼성화재우,000815,OPEN,100.0,422500.0,425000.0,-0.588235294117645,391000.0,527000.0,INITIAL,2026-08-26,2026-09-11,-0.588235294117645,3.88235294117647,-1.764705882352946,,,,,,0.0,34.52971962616822,False,COUNTERTREND,FRESH,2026-08-11,406500.0,3.936039360393595,22,391000.0,-2.0820200040487347,대기,B,76.12,보험,87.4,6.0,STRONG,2.941176470588235,False,50.0,섹터 87 / 대장 6위 / 주봉 STRONG / ATR 2.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
삼양식품,003230,CLOSED,0.0,1278000.0,1507000.0,-11.745189117451893,1386440.0,1868680.0,INITIAL,2026-08-26,2026-09-11,-15.195753151957536,2.654280026542799,-16.12475116124751,,,2026-09-07,1330000.0,STOP_LOSS,-11.745189117451893,28.830280373831776,False,COUNTERTREND,FRESH,2026-08-04,1219000.0,4.8400328137817805,27,1386440.0,-16.689537861888624,우선검토,A,72.24,음식료·담배,57.400000000000006,4.0,STRONG,5.428002654280027,True,50.0,섹터 57 / 대장 4위 / 주봉 STRONG / ATR 5.4%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
한일홀딩스,003300,OPEN,100.0,18030.0,18350.0,-1.7438692098092679,16882.0,22754.0,INITIAL,2026-08-26,2026-09-11,-1.7438692098092679,4.41416893732971,-2.670299727520431,,,,,,0.0,28.79327102803738,False,COUNTERTREND,FRESH,2026-08-24,18180.0,-0.8250825082508295,14,16882.0,-3.2376539197403575,대기,B,61.45,비금속,63.800000000000004,16.0,STRONG,3.092643051771117,False,50.0,섹터 64 / 대장 16위 / 주봉 STRONG / ATR 3.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
세방전지,004490,OPEN,100.0,61600.0,59800.0,3.0100334448160515,55016.0,74152.0,INITIAL,2026-08-26,2026-09-11,3.0100334448160515,14.046822742474907,0.0,,,,,,0.0,26.90579439252336,False,COUNTERTREND,FRESH,2026-08-07,55600.0,10.79136690647482,24,55016.0,1.5162487348849618,대기,C,54.02,전기·전자,46.8,47.0,RECOVERING,4.226588628762542,False,50.0,섹터 47 / 대장 47위 / 주봉 RECOVERING / ATR 4.2%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
GS건설,006360,CLOSED,0.0,38500.0,37800.0,-11.904761904761907,34776.0,46872.0,INITIAL,2026-08-26,2026-09-11,1.85185185185186,1.85185185185186,-14.682539682539685,,,2026-09-01,33300.0,STOP_LOSS,-11.904761904761907,79.23700934579439,True,COUNTERTREND,NORMAL,2026-08-06,32600.0,18.09815950920246,25,34776.0,0.3580671419207704,우선검토,A,72.83,건설,85.4,2.0,STRONG,7.886904761904762,True,50.0,섹터 85 / 대장 2위 / 주봉 STRONG / ATR 7.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
E1,017940,OPEN,100.0,99400.0,97700.0,1.7400204708290623,89884.0,121148.0,INITIAL,2026-08-26,2026-09-11,1.7400204708290623,1.7400204708290623,-0.61412487205732,,,,,,0.0,39.93308411214954,False,COUNTERTREND,FRESH,2026-08-19,93000.0,6.88172043010753,17,89884.0,0.2462357608979726,대기,B,56.44,유통,41.0,18.0,RECOVERING,4.109518935516888,False,50.0,섹터 41 / 대장 18위 / 주봉 RECOVERING / ATR 4.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
삼성SDI,006400,OPEN,100.0,545000.0,569000.0,-4.217926186291743,523480.0,705560.0,INITIAL,2026-08-27,2026-09-11,-4.217926186291743,1.4059753954305698,-6.854130052724072,,,,,,0.0,82.78990654205607,False,COUNTERTREND,FRESH,2026-08-14,516000.0,5.6201550387597,19,523480.0,-4.182337813562853,대기,B,58.65,전기·전자,53.6,36.0,RECOVERING,5.588752196836555,True,85.10007468259894,섹터 54 / 대장 36위 / 주봉 RECOVERING / ATR 5.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
