최초 EARLY일,티커,종목명,시장,최초 EARLY가,최신일,최신가,EARLY후 수익률 %,최대수익 %,최대낙폭 %,경과 거래일,EARLY 상태,현재 단계,시장상태,RS,RS 가속,MTT,최초 LEADER일,최초 SETUP일,최초 BUY일,최초 BUY가,BUY 승격
2026-08-27,091580,상신이디피,KOSDAQ,22450.0,2026-09-09,22050.0,-1.7817371937639215,2.4498886414253906,-8.685968819599111,9,FRESH,INACTIVE,,,,,,,,,False
2026-08-27,079160,CJ CGV,KOSPI,5370.0,2026-09-09,5310.0,-1.1173184357541888,3.165735567970196,-2.9795158286778367,9,FRESH,EARLY_LEADER,COUNTERTREND,26.26681614349776,-8.471973094170405,False,,,,,False
2026-08-27,051900,LG생활건강,KOSPI,298500.0,2026-09-09,291500.0,-2.345058626465657,6.5326633165829096,-2.8475711892797295,9,FRESH,EARLY_LEADER,COUNTERTREND,30.225336322869957,-4.402466367713004,False,,,,,False
2026-08-27,03473K,SK우,KOSPI,380000.0,2026-09-09,411000.0,8.157894736842097,15.131578947368428,-0.5263157894736858,9,FRESH,LEADER,COUNTERTREND,82.42600896860986,-2.5156950672645735,True,2026-09-01,2026-08-31,,,False
2026-08-27,031980,피에스케이홀딩스,KOSDAQ,127000.0,2026-09-09,152400.0,19.999999999999996,22.83464566929134,-5.4330708661417315,9,NORMAL,LEADER,COUNTERTREND,92.15582959641256,1.8497757847533762,True,2026-09-07,2026-09-03,2026-09-04,144000.0,True
2026-08-26,461300,아이스크림미디어,KOSDAQ,19500.0,2026-09-09,19050.0,-2.3076923076923106,0.3076923076922977,-2.7692307692307683,10,FRESH,INACTIVE,,,,,,2026-08-31,,,False
2026-08-26,225570,넥슨게임즈,KOSDAQ,10890.0,2026-09-09,11350.0,4.224058769513306,6.519742883379243,0.0,10,FRESH,EARLY_LEADER,COUNTERTREND,78.72645739910314,1.7017937219730896,False,,2026-09-04,,,False
2026-08-26,145990,삼양사,KOSPI,45800.0,2026-09-09,47950.0,4.694323144104806,4.694323144104806,-1.637554585152834,10,FRESH,SETUP,COUNTERTREND,26.52578475336323,-0.8139013452914767,False,,2026-08-28,2026-09-03,47400.0,True
2026-08-26,051905,LG생활건강우,KOSPI,108500.0,2026-09-09,105500.0,-2.7649769585253448,2.1198156682027625,-3.3179723502304137,10,FRESH,INACTIVE,,,,,,,,,False
2026-08-26,034310,NICE,KOSPI,13330.0,2026-09-09,12850.0,-3.6009002250562694,1.275318829707417,-6.82670667666917,10,FRESH,INACTIVE,,,,,,2026-08-28,,,False
2026-08-26,033920,무학,KOSPI,7890.0,2026-09-09,7630.0,-3.2953105196451227,0.6337135614702172,-3.2953105196451227,10,FRESH,INACTIVE,,,,,,2026-08-28,,,False
2026-08-26,000430,대원강업,KOSPI,4375.0,2026-09-09,4640.0,6.05714285714285,6.05714285714285,-3.657142857142859,10,FRESH,SETUP,COUNTERTREND,33.73991031390134,6.363228699551563,False,,2026-08-28,,,False
2026-08-26,000370,한화손해보험,KOSPI,7700.0,2026-09-09,7890.0,2.467532467532463,16.233766233766247,0.0,10,FRESH,EARLY_LEADER,COUNTERTREND,46.28139013452915,-31.150224215246638,False,2026-08-28,,,,False
2026-08-25,294870,IPARK현대산업개발,KOSPI,22400.0,2026-09-09,23550.0,5.133928571428581,5.133928571428581,0.0,11,FRESH,SETUP,COUNTERTREND,34.22085201793722,-0.33295964125560573,False,,2026-08-25,,,False
2026-08-25,204620,글로벌텍스프리,KOSDAQ,5150.0,2026-09-09,5440.0,5.631067961165059,15.728155339805827,0.0,11,FRESH,LEADER,COUNTERTREND,79.20739910313901,-4.957399103139025,False,2026-08-31,,2026-08-28,5960.0,True
2026-08-25,144960,뉴파워프라즈마,KOSDAQ,9790.0,2026-09-09,8790.0,-10.214504596527064,2.2471910112359605,-12.665985699693561,11,FRESH,INACTIVE,,,,,2026-08-27,,,,False
2026-08-25,080580,오킨스전자,KOSDAQ,19400.0,2026-09-09,20800.0,7.216494845360821,8.247422680412363,-3.6082474226804107,11,FRESH,SETUP,COUNTERTREND,89.52914798206278,-1.368834080717491,False,2026-08-31,2026-09-09,2026-08-25,19400,True
2026-08-25,003120,일성아이에스,KOSPI,20950.0,2026-09-09,20850.0,-0.4773269689737458,0.23866348448686736,-2.3866348448687402,11,FRESH,INACTIVE,,,,,,,,,False
2026-08-25,002310,아세아제지,KOSPI,8560.0,2026-09-09,8650.0,1.0514018691588856,4.90654205607477,-2.453271028037385,11,FRESH,INACTIVE,,,,,,2026-08-31,2026-08-25,8560,True
2026-08-25,000880,한화,KOSPI,118100.0,2026-09-09,142000.0,20.237087214225234,20.237087214225234,0.0,11,NORMAL,SETUP,COUNTERTREND,71.47533632286995,16.53699551569506,False,,2026-09-09,,,False
2026-08-24,284740,쿠쿠홈시스,KOSPI,22850.0,2026-09-09,23200.0,1.5317286652078765,5.251641137855589,0.0,12,FRESH,INACTIVE,,,,,,,,,False
2026-08-24,138040,메리츠금융지주,KOSPI,115400.0,2026-09-09,125000.0,8.318890814558056,18.630849220103983,0.0,12,FRESH,EARLY_LEADER,COUNTERTREND,29.152466367713004,-7.510089686098652,False,,,,,False
2026-08-24,128940,한미약품,KOSPI,540000.0,2026-09-09,494500.0,-8.425925925925926,0.0,-14.722222222222225,12,FRESH,SETUP,COUNTERTREND,48.35313901345292,1.0728699551569534,False,,2026-09-09,,,False
2026-08-24,093050,LF,KOSPI,23500.0,2026-09-09,22200.0,-5.531914893617018,1.4893617021276562,-6.17021276595745,12,FRESH,INACTIVE,,,,,,,,,False
2026-08-24,058650,세아홀딩스,KOSPI,132600.0,2026-09-09,132600.0,0.0,4.2232277526395245,-1.3574660633484115,12,FRESH,INACTIVE,,,,,,2026-09-02,2026-08-24,132600,True
2026-08-24,025000,KPX케미칼,KOSPI,54000.0,2026-09-09,53900.0,-0.18518518518518823,3.3333333333333437,-0.37037037037036535,12,FRESH,INACTIVE,,,,,,2026-08-26,2026-08-28,55800.0,True
2026-08-24,007340,DN오토모티브,KOSPI,47800.0,2026-09-09,44300.0,-7.322175732217573,1.5690376569037712,-8.995815899581594,12,FRESH,INACTIVE,,,,,,,,,False
2026-08-24,003300,한일홀딩스,KOSPI,18180.0,2026-09-09,18090.0,-0.4950495049504955,5.3905390539053855,-0.4950495049504955,12,FRESH,INACTIVE,,,,,,2026-09-03,2026-08-26,18350,True
2026-08-24,002840,미원상사,KOSPI,131800.0,2026-09-09,129200.0,-1.9726858877086473,5.31107738998482,-2.5796661608497695,12,FRESH,INACTIVE,,,,,,2026-08-28,2026-08-24,131800,True
2026-08-21,100250,진양홀딩스,KOSPI,3160.0,2026-09-09,3155.0,-0.15822784810126667,0.7911392405063333,-1.2658227848101222,13,FRESH,INACTIVE,,,,,,2026-08-26,,,False
2026-08-21,035150,백산,KOSPI,10750.0,2026-09-09,10700.0,-0.46511627906976605,1.8604651162790642,-1.7674418604651132,13,FRESH,INACTIVE,,,,,,,,,False
2026-08-21,028260,삼성물산,KOSPI,395500.0,2026-09-09,376000.0,-4.930467762326174,0.0,-7.838179519595445,13,FRESH,INACTIVE,,,,,,,2026-08-21,395500,True
2026-08-21,002790,아모레퍼시픽홀딩스,KOSPI,26000.0,2026-09-09,25500.0,-1.9230769230769273,7.692307692307687,-1.9230769230769273,13,FRESH,INACTIVE,,,,,,2026-08-31,2026-08-28,28000.0,True
2026-08-20,123890,한국자산신탁,KOSPI,2485.0,2026-09-09,2525.0,1.6096579476861272,6.23742454728371,0.0,14,FRESH,EARLY_LEADER,COUNTERTREND,25.452914798206276,-7.251121076233186,False,,2026-08-27,2026-08-31,2640.0,True
2026-08-20,085620,미래에셋생명,KOSPI,26600.0,2026-09-09,19280.0,-27.5187969924812,9.586466165413544,-27.5187969924812,14,FRESH,INACTIVE,,,,,2026-08-25,,,,False
2026-08-20,061970,LB세미콘,KOSDAQ,5220.0,2026-09-09,3995.0,-23.46743295019157,0.0,-26.62835249042146,14,FRESH,INACTIVE,,,,,,,,,False
2026-08-20,02826K,삼성물산우B,KOSPI,232000.0,2026-09-09,229000.0,-1.2931034482758674,7.1120689655172376,-1.2931034482758674,14,FRESH,INACTIVE,,,,,2026-08-21,2026-08-20,2026-08-21,247500,True
2026-08-20,010060,OCI홀딩스,KOSPI,290000.0,2026-09-09,226500.0,-21.896551724137936,0.0,-25.689655172413794,14,FRESH,INACTIVE,,,,,,2026-08-20,,,False
2026-08-20,001790,대한제당,KOSPI,2810.0,2026-09-09,2830.0,0.7117437722419906,4.0925266903914626,-1.245551601423489,14,FRESH,EARLY_LEADER,COUNTERTREND,27.19170403587444,-3.551569506726455,False,,2026-09-01,,,False
2026-08-19,443060,HD현대마린솔루션,KOSPI,209500.0,2026-09-09,210500.0,0.4773269689737569,5.4892601431980825,-5.632458233890214,15,FRESH,INACTIVE,,,,,,2026-08-28,,,False
2026-08-19,316140,우리금융지주,KOSPI,33500.0,2026-09-09,33500.0,0.0,3.43283582089553,-5.820895522388058,15,FRESH,INACTIVE,,,,,,2026-08-28,,,False
2026-08-19,300720,한일시멘트,KOSPI,15190.0,2026-09-09,16410.0,8.03159973666887,12.376563528637252,-0.13166556945358732,15,FRESH,EARLY_LEADER,COUNTERTREND,23.01121076233184,-5.105381165919283,False,,,2026-08-28,16950.0,True
2026-08-19,207940,삼성바이오로직스,KOSPI,1544000.0,2026-09-09,1452000.0,-5.958549222797926,3.5621761658030993,-6.735751295336789,15,FRESH,INACTIVE,,,,,,2026-08-26,,,False
2026-08-19,127120,제이에스링크,KOSDAQ,36700.0,2026-09-09,33000.0,-10.081743869209813,1.4986376021798309,-18.528610354223428,15,FRESH,INACTIVE,,,,,,,,,False
2026-08-19,090435,아모레퍼시픽우,KOSPI,43600.0,2026-09-09,44950.0,3.096330275229353,7.339449541284404,0.0,15,FRESH,EARLY_LEADER,COUNTERTREND,28.079596412556054,-5.179372197309416,False,,2026-08-25,,,False
2026-08-19,090430,아모레퍼시픽,KOSPI,133100.0,2026-09-09,138300.0,3.9068369646882095,13.148009015777617,0.0,15,FRESH,EARLY_LEADER,COUNTERTREND,32.630044843049326,-10.09977578475337,True,,2026-08-21,2026-08-25,143300,True
2026-08-19,082640,동양생명,KOSPI,8250.0,2026-08-28,8250.0,0.0,0.0,0.0,7,FRESH,INACTIVE,,,,,,,,,False
2026-08-19,019010,베뉴지,KOSDAQ,5180.0,2026-09-09,4790.0,-7.528957528957525,1.3513513513513598,-15.250965250965255,15,FRESH,INACTIVE,,,,,,,,,False
2026-08-19,017940,E1,KOSPI,93000.0,2026-09-09,98400.0,5.8064516129032295,6.021505376344094,-0.6451612903225823,15,FRESH,SETUP,COUNTERTREND,33.55493273542601,-9.211883408071749,False,,2026-08-27,2026-08-26,97700,True
2026-08-19,011200,HMM,KOSPI,21700.0,2026-09-09,20850.0,-3.9170506912442393,5.299539170506917,-4.147465437788023,15,FRESH,INACTIVE,,,,,,2026-08-24,,,False
2026-08-19,009160,SIMPAC,KOSPI,4890.0,2026-09-09,4720.0,-3.476482617586907,8.793456032719838,-3.476482617586907,15,FRESH,INACTIVE,,,,,,2026-08-27,,,False
2026-08-19,007690,국도화학,KOSPI,37950.0,2026-09-09,39850.0,5.006587615283276,7.3781291172595465,-3.293807641633728,15,FRESH,INACTIVE,,,,,,,,,False
2026-08-19,003690,코리안리,KOSPI,14930.0,2026-09-09,14400.0,-3.5498995311453396,3.6168787675820546,-4.353650368385797,15,FRESH,INACTIVE,,,,,,2026-09-03,,,False
2026-08-18,078020,LS증권,KOSDAQ,6720.0,2026-09-09,6620.0,-1.4880952380952328,2.083333333333326,-3.8690476190476164,16,FRESH,INACTIVE,,,,,,,,,False
2026-08-18,043150,바텍,KOSDAQ,20050.0,2026-09-09,17950.0,-10.473815461346636,0.0,-10.473815461346636,16,FRESH,INACTIVE,,,,,,,,,False
2026-08-18,017670,SK텔레콤,KOSPI,99800.0,2026-09-09,91300.0,-8.517034068136276,2.505010020040088,-10.821643286573146,16,FRESH,INACTIVE,,,,,,2026-08-21,,,False
2026-08-18,005830,DB손해보험,KOSPI,182000.0,2026-09-09,186100.0,2.2527472527472447,11.538461538461542,-2.5274725274725296,16,FRESH,EARLY_LEADER,COUNTERTREND,38.512331838565025,-15.279147982062781,True,,2026-08-26,,,False
2026-08-14,267250,HD현대,KOSPI,235500.0,2026-09-09,255000.0,8.280254777070063,8.280254777070063,-11.040339702760082,17,FRESH,EARLY_LEADER,COUNTERTREND,40.32511210762332,16.463004484304932,False,,2026-08-18,,,False
2026-08-14,098120,마이크로컨텍솔,KOSDAQ,29100.0,2026-09-09,47900.0,64.60481099656357,64.60481099656357,0.0,17,CLIMAX_RISK,SETUP,COUNTERTREND,91.63789237668162,0.5549327354260072,True,2026-08-18,2026-09-04,,,False
2026-08-14,088350,한화생명,KOSPI,5630.0,2026-09-09,5710.0,1.4209591474245054,8.525754884547077,-6.927175843694489,17,FRESH,EARLY_LEADER,COUNTERTREND,55.23430493273543,-19.681614349775785,True,2026-08-31,2026-08-26,2026-08-28,5950.0,True
2026-08-14,064760,티씨케이,KOSDAQ,244000.0,2026-09-09,257500.0,5.5327868852458995,10.040983606557386,-7.581967213114749,17,FRESH,EARLY_LEADER,COUNTERTREND,86.23654708520179,-2.3307174887892472,False,,2026-09-02,2026-09-07,268500.0,True
2026-08-14,058610,에스피지,KOSDAQ,118600.0,2026-09-09,93300.0,-21.332209106239464,0.0,-29.342327150084312,17,FRESH,INACTIVE,,,,,,2026-08-14,,,False
2026-08-14,056190,SFA,KOSDAQ,25550.0,2026-09-09,24450.0,-4.305283757338552,0.0,-8.023483365949124,17,FRESH,INACTIVE,,,,,,,,,False
2026-08-14,006400,삼성SDI,KOSPI,516000.0,2026-09-09,574000.0,11.240310077519378,11.821705426356587,-7.36434108527132,17,FRESH,LEADER,COUNTERTREND,84.38677130044843,0.7399103139013476,False,2026-08-27,2026-08-24,2026-08-14,516000,True
2026-08-14,005850,에스엘,KOSPI,61600.0,2026-09-09,51100.0,-17.04545454545454,0.0,-18.66883116883117,17,FRESH,INACTIVE,,,,,,,,,False
2026-08-14,004370,농심,KOSPI,437500.0,2026-09-09,413500.0,-5.485714285714282,4.9142857142857155,-5.485714285714282,17,FRESH,EARLY_LEADER,COUNTERTREND,24.417040358744394,-10.87668161434977,False,,,2026-08-14,437500,True
2026-08-13,332570,PS일렉트로닉스,KOSDAQ,11160.0,2026-09-09,7510.0,-32.70609318996416,0.0,-35.30465949820788,18,FRESH,INACTIVE,,,,,,,,,False
2026-08-13,251970,펌텍코리아,KOSDAQ,54800.0,2026-09-09,51300.0,-6.386861313868608,15.693430656934314,-6.386861313868608,18,FRESH,EARLY_LEADER,COUNTERTREND,80.50224215246637,-4.624439461883412,False,2026-08-21,,,,False
2026-08-13,204320,HL만도,KOSPI,55500.0,2026-09-09,49700.0,-10.450450450450454,2.8828828828828756,-14.68468468468469,18,FRESH,INACTIVE,,,,,,,2026-08-14,57100,True
2026-08-13,160980,싸이맥스,KOSDAQ,34950.0,2026-09-09,23500.0,-32.761087267525035,0.0,-36.194563662374826,18,FRESH,INACTIVE,,,,,,,2026-08-13,34950,True
2026-08-13,089860,롯데렌탈,KOSPI,42500.0,2026-09-09,48700.0,14.588235294117657,20.94117647058824,0.0,18,FRESH,LEADER,COUNTERTREND,73.73206278026905,-9.174887892376702,True,2026-08-18,2026-08-25,2026-09-01,51400.0,True
2026-08-13,060980,HL홀딩스,KOSPI,40400.0,2026-09-09,39650.0,-1.856435643564358,1.7326732673267342,-4.331683168316836,18,FRESH,INACTIVE,,,,,,,,,False
2026-08-13,012450,한화에어로스페이스,KOSPI,1185000.0,2026-09-09,1047000.0,-11.64556962025316,0.0,-13.502109704641352,18,FRESH,INACTIVE,,,,,,2026-08-19,,,False
2026-08-13,002990,금호건설,KOSPI,14370.0,2026-09-09,15640.0,8.837856645789843,18.99791231732777,-12.317327766179542,18,FRESH,LEADER,COUNTERTREND,94.597533632287,-1.2208520179372186,True,2026-08-20,,,,False
2026-08-12,278470,에이피알,KOSPI,397000.0,2026-09-09,368500.0,-7.17884130982368,17.002518891687668,-7.17884130982368,19,FRESH,INACTIVE,,,,,2026-08-24,2026-08-12,2026-08-25,440500,True
2026-08-12,237880,클리오,KOSDAQ,12160.0,2026-09-09,12050.0,-0.9046052631578982,17.02302631578947,-5.427631578947367,19,FRESH,LEADER,COUNTERTREND,76.02578475336324,-3.847533632286982,False,2026-08-14,,,,False
2026-08-12,096760,JW홀딩스,KOSPI,4180.0,2026-09-09,4200.0,0.4784688995215225,0.5980861244019087,-4.904306220095689,19,FRESH,INACTIVE,,,,,,,,,False
2026-08-12,003070,코오롱글로벌,KOSPI,10500.0,2026-09-09,9180.0,-12.571428571428566,0.0,-12.571428571428566,19,FRESH,INACTIVE,,,,,,,,,False
2026-08-12,001060,JW중외제약,KOSPI,30000.0,2026-09-09,26900.0,-10.33333333333334,0.0,-12.0,19,FRESH,INACTIVE,,,,,,,2026-09-01,29000.0,True
2026-08-11,226320,잇츠한불,KOSPI,11020.0,2026-09-09,10130.0,-8.076225045372054,3.62976406533575,-8.076225045372054,20,FRESH,INACTIVE,,,,,,,,,False
2026-08-11,200880,서연이화,KOSPI,12860.0,2026-09-09,11340.0,-11.819595645412129,1.477449455676516,-12.519440124416793,20,FRESH,INACTIVE,,,,,,,,,False
2026-08-11,098460,고영,KOSDAQ,32800.0,2026-09-09,27350.0,-16.615853658536583,0.0,-17.22560975609756,20,FRESH,INACTIVE,,,,,,2026-08-14,,,False
2026-08-11,037710,광주신세계,KOSPI,41950.0,2026-09-09,35500.0,-15.37544696066746,0.0,-16.8057210965435,20,FRESH,INACTIVE,,,,,,,2026-08-11,41950,True
2026-08-11,006120,SK디스커버리,KOSPI,53700.0,2026-09-09,57000.0,6.145251396648055,6.145251396648055,-8.100558659217882,20,FRESH,EARLY_LEADER,COUNTERTREND,30.928251121076233,-0.40695067264573836,False,,2026-08-11,,,False
2026-08-11,005610,삼립,KOSPI,41200.0,2026-09-09,41800.0,1.4563106796116498,2.5485436893203817,-5.339805825242716,20,FRESH,INACTIVE,,,,,,,,,False
2026-08-11,002900,TYM,KOSPI,7060.0,2026-09-09,7040.0,-0.283286118980175,6.515580736543902,-3.682719546742208,20,FRESH,INACTIVE,,,,,,2026-09-04,,,False
2026-08-11,002810,삼영무역,KOSPI,23700.0,2026-09-09,21900.0,-7.594936708860756,0.0,-7.805907172995785,20,FRESH,INACTIVE,,,,,,2026-08-11,,,False
2026-08-11,000815,삼성화재우,KOSPI,406500.0,2026-09-09,417500.0,2.7060270602706105,8.610086100861004,-2.337023370233704,20,FRESH,INACTIVE,,,,,,2026-08-11,2026-08-26,425000,True
2026-08-10,462870,시프트업,KOSPI,32400.0,2026-09-09,31250.0,-3.5493827160493874,3.8580246913580307,-4.320987654320985,21,FRESH,INACTIVE,,,,,,2026-08-20,,,False
2026-08-10,446540,메가터치,KOSDAQ,7790.0,2026-09-09,7910.0,1.5404364569961526,10.911424903722722,-13.093709884467264,21,FRESH,INACTIVE,,,,,2026-08-11,,2026-08-10,7790,True
2026-08-10,334890,이지스밸류플러스리츠,KOSPI,3700.0,2026-09-09,3605.0,-2.5675675675675635,9.459459459459453,-3.6486486486486447,21,FRESH,INACTIVE,,,,,,2026-08-27,,,False
2026-08-10,306200,세아제강,KOSPI,136300.0,2026-09-09,147100.0,7.923697725605283,8.217168011738817,-2.567865003668379,21,FRESH,INACTIVE,,,,,,,2026-09-03,147500.0,True
2026-08-10,264850,이랜시스,KOSDAQ,6750.0,2026-09-09,6000.0,-11.111111111111116,2.2222222222222143,-21.333333333333336,21,FRESH,INACTIVE,,,,,,,,,False
